04-13 21:08:38	##### arguments #####
04-13 21:08:38	dataset: cifar10
04-13 21:08:38	model_config: config/model/wrn-16-1.json
04-13 21:08:38	-- num_layer: 16
04-13 21:08:38	-- widening_factor: 1
04-13 21:08:38	run_config: config/run/std_train.json
04-13 21:08:38	-- batch_size_train: 128
04-13 21:08:38	-- batch_size_eval: 256
04-13 21:08:38	-- num_epochs: 100
04-13 21:08:38	-- learning_rate: 0.1
04-13 21:08:38	-- learning_rate_scheduler: cyclicLR
04-13 21:08:38	-- momentum: 0.9
04-13 21:08:38	-- weight_decay: 0.0005
04-13 21:08:38	-- dropout_rate: 0
04-13 21:08:38	device: cuda (1 GPUs)
04-13 21:08:38	output_path: results/cifar10/baselines/standard/wrn-16-1
04-13 21:08:38	log_file: results/cifar10/baselines/standard/wrn-16-1/std_train_wrn_log.txt

04-13 21:08:38	start loading datasets: cifar10
04-13 21:08:39	loaded 50000 dataset_train samples
04-13 21:08:39	loaded 10000 dataset_test samples
04-13 21:08:39	elapsed time: 0:00:01.187427

04-13 21:08:39	start initializing a model
04-13 21:08:39	end initializing a model
04-13 21:08:39	elapsed time:0:00:00.009536

04-13 21:08:39	start setting trainer configurations
04-13 21:08:43	end setting trainer configurations
04-13 21:08:43	elapsed time:0:00:03.954326

04-13 21:08:43	start training a model
04-13 21:08:43	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-13 21:24:49	069	train	0.3469	0.8798	|	test	0.5096	0.8363
04-13 21:25:03	070	train	0.3386	0.8819	|	test	0.5071	0.8347
04-13 21:25:16	071	train	0.3328	0.8854	|	test	0.4205	0.8572
04-13 21:25:30	072	train	0.3319	0.8850	|	test	0.4290	0.8547
04-13 21:25:44	073	train	0.3291	0.8871	|	test	0.4400	0.8505
04-13 21:25:58	074	train	0.3252	0.8880	|	test	0.4780	0.8432
04-13 21:26:12	075	train	0.3213	0.8905	|	test	0.5028	0.8333
04-13 21:26:25	076	train	0.3164	0.8899	|	test	0.4253	0.8627
04-13 21:26:40	077	train	0.3152	0.8916	|	test	0.4213	0.8604
04-13 21:26:53	078	train	0.3076	0.8927	|	test	0.4204	0.8581
04-13 21:27:08	079	train	0.3033	0.8954	|	test	0.6090	0.7955
04-13 21:27:21	080	train	0.2957	0.8982	|	test	0.4963	0.8340
04-13 21:27:35	081	train	0.2905	0.8990	|	test	0.4301	0.8590
04-13 21:27:49	082	train	0.2882	0.9017	|	test	0.4506	0.8535
04-13 21:28:04	083	train	0.2860	0.9012	|	test	0.3670	0.8744
04-13 21:28:18	084	train	0.2742	0.9067	|	test	0.3663	0.8792
04-13 21:28:32	085	train	0.2726	0.9061	|	test	0.3806	0.8724
04-13 21:28:45	086	train	0.2633	0.9081	|	test	0.3713	0.8767
04-13 21:28:59	087	train	0.2614	0.9092	|	test	0.3588	0.8804
04-13 21:29:13	088	train	0.2534	0.9117	|	test	0.3581	0.8802
04-13 21:29:27	089	train	0.2439	0.9169	|	test	0.3483	0.8853
04-13 21:29:41	090	train	0.2339	0.9191	|	test	0.3537	0.8847
04-13 21:29:54	091	train	0.2299	0.9197	|	test	0.3600	0.8828
04-13 21:30:08	092	train	0.2170	0.9240	|	test	0.3556	0.8824
04-13 21:30:21	093	train	0.2057	0.9305	|	test	0.3166	0.8968
04-13 21:30:36	094	train	0.1938	0.9337	|	test	0.3316	0.8931
04-13 21:30:50	095	train	0.1830	0.9369	|	test	0.3124	0.8949
04-13 21:31:03	096	train	0.1704	0.9422	|	test	0.3130	0.9004
04-13 21:31:17	097	train	0.1622	0.9450	|	test	0.2912	0.9077
04-13 21:31:31	098	train	0.1473	0.9495	|	test	0.2728	0.9124
04-13 21:31:44	099	train	0.1339	0.9554	|	test	0.2684	0.9125
04-13 21:31:58	100	train	0.1190	0.9616	|	test	0.2632	0.9136
04-13 21:31:58	end training a model
04-13 21:31:58	elapsed time:0:23:14.860398

