04-14 13:59:45	##### arguments #####
04-14 13:59:45	dataset: cifar100
04-14 13:59:45	model_config: config/model/wrn-16-8.json
04-14 13:59:45	-- num_layer: 16
04-14 13:59:45	-- widening_factor: 8
04-14 13:59:45	run_config: config/run/std_train.json
04-14 13:59:45	-- batch_size_train: 128
04-14 13:59:45	-- batch_size_eval: 256
04-14 13:59:45	-- num_epochs: 100
04-14 13:59:45	-- learning_rate: 0.1
04-14 13:59:45	-- learning_rate_scheduler: cyclicLR
04-14 13:59:45	-- momentum: 0.9
04-14 13:59:45	-- weight_decay: 0.0005
04-14 13:59:45	-- dropout_rate: 0
04-14 13:59:45	device: cuda (1 GPUs)
04-14 13:59:45	output_path: results/cifar100/baselines/standard/wrn-16-8
04-14 13:59:45	log_file: results/cifar100/baselines/standard/wrn-16-8/std_train_wrn_log.txt

04-14 13:59:45	start loading datasets: cifar100
04-14 13:59:46	loaded 50000 dataset_train samples
04-14 13:59:46	loaded 10000 dataset_test samples
04-14 13:59:46	elapsed time: 0:00:01.457292

04-14 13:59:46	start initializing a model
04-14 13:59:46	end initializing a model
04-14 13:59:46	elapsed time:0:00:00.171730

04-14 13:59:46	start setting trainer configurations
04-14 13:59:50	end setting trainer configurations
04-14 13:59:50	elapsed time:0:00:03.896083

04-14 13:59:50	start training a model
04-14 13:59:50	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 14:31:23	042	train	0.5288	0.8394	|	test	1.5961	0.6077
04-14 14:32:08	043	train	0.5225	0.8406	|	test	1.5468	0.6298
04-14 14:32:53	044	train	0.5323	0.8340	|	test	1.5436	0.6184
04-14 14:33:38	045	train	0.5289	0.8381	|	test	1.6214	0.6141
04-14 14:34:23	046	train	0.5207	0.8397	|	test	1.5129	0.6324
04-14 14:35:08	047	train	0.5201	0.8429	|	test	1.6518	0.6092
04-14 14:35:53	048	train	0.5087	0.8465	|	test	1.6291	0.6129
04-14 14:36:38	049	train	0.5271	0.8392	|	test	1.6124	0.6087
04-14 14:37:23	050	train	0.5166	0.8413	|	test	1.4238	0.6395
04-14 14:38:08	051	train	0.5043	0.8463	|	test	1.5874	0.6184
04-14 14:38:53	052	train	0.4992	0.8465	|	test	1.4630	0.6314
04-14 14:39:38	053	train	0.4747	0.8545	|	test	1.7824	0.5975
04-14 14:40:23	054	train	0.4553	0.8629	|	test	1.6602	0.6203
04-14 14:41:08	055	train	0.4516	0.8619	|	test	1.5726	0.6185
04-14 14:41:53	056	train	0.4407	0.8666	|	test	1.5683	0.6256
04-14 14:42:39	057	train	0.4254	0.8717	|	test	1.6417	0.6052
04-14 14:43:24	058	train	0.4103	0.8758	|	test	1.5941	0.6289
04-14 14:44:09	059	train	0.4102	0.8755	|	test	1.4254	0.6554
04-14 14:44:54	060	train	0.3998	0.8789	|	test	1.5304	0.6412
04-14 14:45:39	061	train	0.3852	0.8847	|	test	1.7286	0.6053
04-14 14:46:24	062	train	0.3929	0.8810	|	test	1.5137	0.6415
04-14 14:47:09	063	train	0.3615	0.8910	|	test	1.3744	0.6628
04-14 14:47:54	064	train	0.3450	0.8970	|	test	1.4848	0.6463
04-14 14:48:39	065	train	0.3682	0.8892	|	test	1.5692	0.6417
04-14 14:49:24	066	train	0.3415	0.8976	|	test	1.8822	0.5892
04-14 14:50:09	067	train	0.3236	0.9032	|	test	1.4961	0.6511
04-14 14:50:55	068	train	0.3166	0.9058	|	test	1.5052	0.6369
04-14 14:51:40	069	train	0.3135	0.9072	|	test	1.4991	0.6495
04-14 14:52:25	070	train	0.2840	0.9161	|	test	1.3394	0.6716
04-14 14:53:10	071	train	0.2797	0.9177	|	test	1.4511	0.6593
04-14 14:53:55	072	train	0.2624	0.9236	|	test	1.3610	0.6628
04-14 14:54:41	073	train	0.2566	0.9244	|	test	1.4329	0.6646
04-14 14:55:26	074	train	0.2556	0.9253	|	test	1.4167	0.6662
04-14 14:56:11	075	train	0.2353	0.9323	|	test	1.3738	0.6810
04-14 14:56:56	076	train	0.2299	0.9336	|	test	1.3650	0.6823
04-14 14:57:41	077	train	0.2169	0.9385	|	test	1.3736	0.6861
04-14 14:58:27	078	train	0.2059	0.9420	|	test	1.4026	0.6681
04-14 14:59:12	079	train	0.1837	0.9503	|	test	1.2763	0.6917
04-14 14:59:57	080	train	0.1751	0.9514	|	test	1.2202	0.7012
04-14 15:00:42	081	train	0.1603	0.9567	|	test	1.1959	0.7066
04-14 15:01:27	082	train	0.1400	0.9647	|	test	1.2958	0.6936
04-14 15:02:13	083	train	0.1195	0.9706	|	test	1.2137	0.7065
04-14 15:02:58	084	train	0.1180	0.9717	|	test	1.1935	0.7142
04-14 15:03:43	085	train	0.0959	0.9785	|	test	1.2140	0.7119
04-14 15:04:28	086	train	0.0876	0.9810	|	test	1.1607	0.7201
04-14 15:05:13	087	train	0.0651	0.9882	|	test	1.1322	0.7275
04-14 15:05:59	088	train	0.0515	0.9915	|	test	1.0622	0.7395
04-14 15:06:44	089	train	0.0409	0.9943	|	test	1.0732	0.7399
04-14 15:07:29	090	train	0.0318	0.9961	|	test	0.9951	0.7574
04-14 15:08:14	091	train	0.0260	0.9973	|	test	0.9772	0.7576
04-14 15:08:59	092	train	0.0229	0.9981	|	test	0.9488	0.7639
04-14 15:09:45	093	train	0.0183	0.9986	|	test	0.9237	0.7703
04-14 15:10:30	094	train	0.0159	0.9992	|	test	0.9193	0.7690
04-14 15:11:15	095	train	0.0143	0.9993	|	test	0.9042	0.7710
04-14 15:12:00	096	train	0.0128	0.9994	|	test	0.8963	0.7709
04-14 15:12:45	097	train	0.0118	0.9996	|	test	0.8934	0.7721
04-14 15:13:30	098	train	0.0114	0.9996	|	test	0.8887	0.7737
04-14 15:14:16	099	train	0.0109	0.9997	|	test	0.8905	0.7741
04-14 15:15:01	100	train	0.0107	0.9996	|	test	0.8854	0.7758
04-14 15:15:01	end training a model
04-14 15:15:01	elapsed time:1:15:10.604362

