04-13 14:54:18	##### arguments #####
04-13 14:54:18	dataset: cifar10
04-13 14:54:18	model_config: config/model/wrn-40-1.json
04-13 14:54:18	-- num_layer: 40
04-13 14:54:18	-- widening_factor: 1
04-13 14:54:18	run_config: config/run/std_train.json
04-13 14:54:18	-- batch_size_train: 128
04-13 14:54:18	-- batch_size_eval: 256
04-13 14:54:18	-- num_epochs: 100
04-13 14:54:18	-- learning_rate: 0.1
04-13 14:54:18	-- learning_rate_scheduler: cyclicLR
04-13 14:54:18	-- momentum: 0.9
04-13 14:54:18	-- weight_decay: 0.0005
04-13 14:54:18	-- dropout_rate: 0
04-13 14:54:18	device: cuda (1 GPUs)
04-13 14:54:18	output_path: results/cifar10/baselines/standard/wrn-40-1
04-13 14:54:18	log_file: results/cifar10/baselines/standard/wrn-40-1/std_train_wrn_log.txt

04-13 14:54:18	start loading datasets: cifar10
04-13 14:54:19	loaded 50000 dataset_train samples
04-13 14:54:19	loaded 10000 dataset_test samples
04-13 14:54:19	elapsed time: 0:00:01.196639

04-13 14:54:19	start initializing a model
04-13 14:54:19	end initializing a model
04-13 14:54:19	elapsed time:0:00:00.021908

04-13 14:54:19	start setting trainer configurations
04-13 14:54:23	end setting trainer configurations
04-13 14:54:23	elapsed time:0:00:03.919893

04-13 14:54:23	start training a model
04-13 14:54:23	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-13 15:03:14	033	train	0.3937	0.8654	|	test	0.5265	0.8240
04-13 15:03:30	034	train	0.3856	0.8674	|	test	0.5377	0.8228
04-13 15:03:47	035	train	0.3839	0.8676	|	test	0.5388	0.8219
04-13 15:04:03	036	train	0.3766	0.8706	|	test	0.5306	0.8249
04-13 15:04:19	037	train	0.3756	0.8716	|	test	0.5864	0.8088
04-13 15:04:35	038	train	0.3702	0.8739	|	test	0.5525	0.8117
04-13 15:04:51	039	train	0.3694	0.8736	|	test	0.6317	0.8015
04-13 15:05:07	040	train	0.3721	0.8729	|	test	0.8354	0.7362
04-13 15:05:23	041	train	0.3656	0.8750	|	test	0.4855	0.8394
04-13 15:05:39	042	train	0.3632	0.8755	|	test	0.6132	0.7982
04-13 15:05:55	043	train	0.3588	0.8771	|	test	0.5124	0.8259
04-13 15:06:11	044	train	0.3613	0.8762	|	test	0.6250	0.8023
04-13 15:06:27	045	train	0.3611	0.8775	|	test	0.5124	0.8356
04-13 15:06:43	046	train	0.3530	0.8806	|	test	0.5063	0.8249
04-13 15:06:59	047	train	0.3560	0.8778	|	test	0.4787	0.8427
04-13 15:07:15	048	train	0.3485	0.8821	|	test	0.5391	0.8238
04-13 15:07:31	049	train	0.3547	0.8788	|	test	0.5001	0.8334
04-13 15:07:47	050	train	0.3499	0.8801	|	test	0.6100	0.8073
04-13 15:08:03	051	train	0.3445	0.8817	|	test	0.4713	0.8447
04-13 15:08:19	052	train	0.3423	0.8814	|	test	0.5855	0.8099
04-13 15:08:35	053	train	0.3357	0.8856	|	test	0.5210	0.8280
04-13 15:08:51	054	train	0.3328	0.8858	|	test	0.4352	0.8547
04-13 15:09:07	055	train	0.3269	0.8880	|	test	0.4930	0.8369
04-13 15:09:23	056	train	0.3256	0.8887	|	test	0.4898	0.8358
04-13 15:09:39	057	train	0.3164	0.8902	|	test	0.4933	0.8414
04-13 15:09:56	058	train	0.3109	0.8936	|	test	0.4805	0.8349
04-13 15:10:11	059	train	0.3130	0.8937	|	test	0.4893	0.8336
04-13 15:10:28	060	train	0.3057	0.8954	|	test	0.4527	0.8543
04-13 15:10:43	061	train	0.3022	0.8958	|	test	0.4623	0.8459
04-13 15:11:00	062	train	0.2947	0.8992	|	test	0.3745	0.8743
04-13 15:11:16	063	train	0.2950	0.8985	|	test	0.5516	0.8181
04-13 15:11:32	064	train	0.2865	0.9021	|	test	0.4566	0.8504
04-13 15:11:48	065	train	0.2882	0.9004	|	test	0.4516	0.8530
04-13 15:12:04	066	train	0.2811	0.9036	|	test	0.4905	0.8361
04-13 15:12:20	067	train	0.2816	0.9043	|	test	0.4632	0.8549
04-13 15:12:35	068	train	0.2751	0.9047	|	test	0.4499	0.8491
04-13 15:12:51	069	train	0.2715	0.9072	|	test	0.4522	0.8537
04-13 15:13:07	070	train	0.2663	0.9085	|	test	0.4269	0.8514
04-13 15:13:23	071	train	0.2570	0.9110	|	test	0.4160	0.8598
04-13 15:13:39	072	train	0.2584	0.9111	|	test	0.3924	0.8703
04-13 15:13:55	073	train	0.2549	0.9124	|	test	0.4172	0.8636
04-13 15:14:11	074	train	0.2496	0.9133	|	test	0.3469	0.8817
04-13 15:14:27	075	train	0.2425	0.9167	|	test	0.4877	0.8458
04-13 15:14:43	076	train	0.2401	0.9180	|	test	0.3874	0.8712
04-13 15:14:59	077	train	0.2416	0.9152	|	test	0.5460	0.8268
04-13 15:15:15	078	train	0.2230	0.9231	|	test	0.5331	0.8365
04-13 15:15:31	079	train	0.2273	0.9221	|	test	0.3748	0.8789
04-13 15:15:47	080	train	0.2206	0.9241	|	test	0.4130	0.8682
04-13 15:16:03	081	train	0.2154	0.9265	|	test	0.3599	0.8778
04-13 15:16:19	082	train	0.2066	0.9292	|	test	0.4595	0.8585
04-13 15:16:35	083	train	0.1980	0.9315	|	test	0.3599	0.8886
04-13 15:16:50	084	train	0.1975	0.9304	|	test	0.5316	0.8399
04-13 15:17:07	085	train	0.1867	0.9362	|	test	0.3676	0.8802
04-13 15:17:23	086	train	0.1822	0.9370	|	test	0.4004	0.8774
04-13 15:17:39	087	train	0.1767	0.9395	|	test	0.3310	0.8942
04-13 15:17:55	088	train	0.1631	0.9443	|	test	0.4250	0.8725
04-13 15:18:11	089	train	0.1617	0.9442	|	test	0.3099	0.9014
04-13 15:18:26	090	train	0.1468	0.9504	|	test	0.2975	0.9040
04-13 15:18:42	091	train	0.1364	0.9538	|	test	0.3377	0.8938
04-13 15:18:59	092	train	0.1283	0.9560	|	test	0.2872	0.9117
04-13 15:19:15	093	train	0.1120	0.9619	|	test	0.2726	0.9172
04-13 15:19:31	094	train	0.1026	0.9651	|	test	0.2587	0.9208
04-13 15:19:47	095	train	0.0895	0.9700	|	test	0.2462	0.9247
04-13 15:20:03	096	train	0.0781	0.9739	|	test	0.2723	0.9217
04-13 15:20:19	097	train	0.0635	0.9788	|	test	0.2544	0.9274
04-13 15:20:35	098	train	0.0510	0.9837	|	test	0.2436	0.9315
04-13 15:20:51	099	train	0.0414	0.9876	|	test	0.2382	0.9339
04-13 15:21:07	100	train	0.0344	0.9900	|	test	0.2337	0.9358
04-13 15:21:07	end training a model
04-13 15:21:07	elapsed time:0:26:43.878832

