04-13 15:57:40	##### arguments #####
04-13 15:57:40	dataset: cifar10
04-13 15:57:40	model_config: config/model/wrn-40-4.json
04-13 15:57:40	-- num_layer: 40
04-13 15:57:40	-- widening_factor: 4
04-13 15:57:40	run_config: config/run/std_train.json
04-13 15:57:40	-- batch_size_train: 128
04-13 15:57:40	-- batch_size_eval: 256
04-13 15:57:40	-- num_epochs: 100
04-13 15:57:40	-- learning_rate: 0.1
04-13 15:57:40	-- learning_rate_scheduler: cyclicLR
04-13 15:57:40	-- momentum: 0.9
04-13 15:57:40	-- weight_decay: 0.0005
04-13 15:57:40	-- dropout_rate: 0
04-13 15:57:40	device: cuda (1 GPUs)
04-13 15:57:40	output_path: results/cifar10/baselines/standard/wrn-40-4
04-13 15:57:40	log_file: results/cifar10/baselines/standard/wrn-40-4/std_train_wrn_log.txt

04-13 15:57:40	start loading datasets: cifar10
04-13 15:57:41	loaded 50000 dataset_train samples
04-13 15:57:41	loaded 10000 dataset_test samples
04-13 15:57:41	elapsed time: 0:00:01.189855

04-13 15:57:41	start initializing a model
04-13 15:57:41	end initializing a model
04-13 15:57:41	elapsed time:0:00:00.143201

04-13 15:57:41	start setting trainer configurations
04-13 15:57:45	end setting trainer configurations
04-13 15:57:45	elapsed time:0:00:03.929132

04-13 15:57:45	start training a model
04-13 15:57:45	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-13 16:11:52	019	train	0.2993	0.8975	|	test	0.4222	0.8604
04-13 16:12:36	020	train	0.2910	0.9013	|	test	0.4630	0.8493
04-13 16:13:21	021	train	0.2806	0.9041	|	test	0.3561	0.8776
04-13 16:14:05	022	train	0.2787	0.9061	|	test	0.3935	0.8643
04-13 16:14:50	023	train	0.2644	0.9103	|	test	0.3820	0.8724
04-13 16:15:35	024	train	0.2594	0.9102	|	test	0.3729	0.8774
04-13 16:16:20	025	train	0.2570	0.9111	|	test	0.3687	0.8785
04-13 16:17:05	026	train	0.2474	0.9162	|	test	0.3748	0.8742
04-13 16:17:49	027	train	0.2424	0.9172	|	test	0.4280	0.8627
04-13 16:18:35	028	train	0.2399	0.9171	|	test	0.3356	0.8867
04-13 16:19:26	029	train	0.2401	0.9184	|	test	0.3582	0.8848
04-13 16:20:10	030	train	0.2309	0.9212	|	test	0.3392	0.8907
04-13 16:20:55	031	train	0.2283	0.9224	|	test	0.3655	0.8795
04-13 16:21:39	032	train	0.2300	0.9219	|	test	0.3646	0.8784
04-13 16:22:24	033	train	0.2261	0.9220	|	test	0.3955	0.8730
04-13 16:23:08	034	train	0.2266	0.9226	|	test	0.5376	0.8366
04-13 16:23:53	035	train	0.2215	0.9247	|	test	0.4157	0.8648
04-13 16:24:37	036	train	0.2256	0.9233	|	test	0.4186	0.8609
04-13 16:25:22	037	train	0.2258	0.9228	|	test	0.3436	0.8866
04-13 16:26:06	038	train	0.2198	0.9241	|	test	0.3979	0.8714
04-13 16:26:51	039	train	0.2163	0.9262	|	test	0.3418	0.8900
04-13 16:27:35	040	train	0.2202	0.9248	|	test	0.3671	0.8784
04-13 16:28:20	041	train	0.2170	0.9260	|	test	0.3378	0.8931
04-13 16:29:04	042	train	0.2149	0.9268	|	test	0.6016	0.8271
04-13 16:29:49	043	train	0.2150	0.9261	|	test	0.3594	0.8832
04-13 16:30:33	044	train	0.2143	0.9266	|	test	0.5036	0.8456
04-13 16:31:18	045	train	0.2139	0.9262	|	test	0.4798	0.8487
04-13 16:32:03	046	train	0.2077	0.9288	|	test	0.4775	0.8466
04-13 16:32:47	047	train	0.2130	0.9269	|	test	0.3846	0.8765
04-13 16:33:32	048	train	0.2107	0.9280	|	test	0.4263	0.8672
04-13 16:34:17	049	train	0.2087	0.9299	|	test	0.4205	0.8685
04-13 16:35:01	050	train	0.2087	0.9280	|	test	0.5100	0.8495
04-13 16:35:46	051	train	0.2021	0.9318	|	test	0.4538	0.8641
04-13 16:36:30	052	train	0.2012	0.9302	|	test	0.3952	0.8785
04-13 16:37:15	053	train	0.1984	0.9319	|	test	0.4578	0.8582
04-13 16:38:00	054	train	0.1918	0.9359	|	test	0.4891	0.8483
04-13 16:38:44	055	train	0.1894	0.9352	|	test	0.4586	0.8619
04-13 16:39:29	056	train	0.1914	0.9349	|	test	0.3362	0.8952
04-13 16:40:13	057	train	0.1804	0.9376	|	test	0.4189	0.8722
04-13 16:40:58	058	train	0.1823	0.9378	|	test	0.4792	0.8544
04-13 16:41:43	059	train	0.1741	0.9404	|	test	0.3723	0.8846
04-13 16:42:27	060	train	0.1700	0.9414	|	test	0.4550	0.8606
04-13 16:43:11	061	train	0.1710	0.9423	|	test	0.3518	0.8914
04-13 16:43:56	062	train	0.1681	0.9420	|	test	0.3736	0.8839
04-13 16:44:40	063	train	0.1642	0.9445	|	test	0.3124	0.9011
04-13 16:45:25	064	train	0.1529	0.9481	|	test	0.3428	0.8942
04-13 16:46:09	065	train	0.1565	0.9472	|	test	0.3065	0.9025
04-13 16:46:54	066	train	0.1514	0.9488	|	test	0.3565	0.8899
04-13 16:47:38	067	train	0.1528	0.9483	|	test	0.3026	0.9048
04-13 16:48:23	068	train	0.1472	0.9500	|	test	0.3750	0.8844
04-13 16:49:07	069	train	0.1431	0.9505	|	test	0.4204	0.8785
04-13 16:49:52	070	train	0.1416	0.9526	|	test	0.3612	0.8919
04-13 16:50:36	071	train	0.1384	0.9526	|	test	0.3277	0.8951
04-13 16:51:21	072	train	0.1369	0.9538	|	test	0.3064	0.9050
04-13 16:52:05	073	train	0.1273	0.9569	|	test	0.3534	0.8921
04-13 16:52:50	074	train	0.1290	0.9556	|	test	0.3233	0.8995
04-13 16:53:34	075	train	0.1187	0.9600	|	test	0.3404	0.8961
04-13 16:54:19	076	train	0.1188	0.9593	|	test	0.3341	0.8992
04-13 16:55:03	077	train	0.1142	0.9612	|	test	0.4365	0.8809
04-13 16:55:48	078	train	0.1150	0.9609	|	test	0.3170	0.9051
04-13 16:56:32	079	train	0.1080	0.9637	|	test	0.2773	0.9176
04-13 16:57:17	080	train	0.1013	0.9658	|	test	0.3144	0.9050
04-13 16:58:01	081	train	0.1008	0.9665	|	test	0.3569	0.9008
04-13 16:58:45	082	train	0.0928	0.9689	|	test	0.2678	0.9190
04-13 16:59:30	083	train	0.0898	0.9685	|	test	0.3208	0.9045
04-13 17:00:15	084	train	0.0859	0.9716	|	test	0.2671	0.9178
04-13 17:00:59	085	train	0.0770	0.9745	|	test	0.2694	0.9227
04-13 17:01:44	086	train	0.0713	0.9761	|	test	0.2827	0.9145
04-13 17:02:28	087	train	0.0686	0.9770	|	test	0.2404	0.9294
04-13 17:03:13	088	train	0.0630	0.9791	|	test	0.2525	0.9267
04-13 17:03:57	089	train	0.0563	0.9812	|	test	0.2693	0.9239
04-13 17:04:42	090	train	0.0514	0.9832	|	test	0.2472	0.9312
04-13 17:05:26	091	train	0.0378	0.9878	|	test	0.2700	0.9247
04-13 17:06:11	092	train	0.0379	0.9875	|	test	0.2310	0.9366
04-13 17:06:55	093	train	0.0326	0.9894	|	test	0.2459	0.9360
04-13 17:07:40	094	train	0.0224	0.9931	|	test	0.2058	0.9462
04-13 17:08:24	095	train	0.0169	0.9952	|	test	0.2229	0.9423
04-13 17:09:09	096	train	0.0113	0.9970	|	test	0.2169	0.9455
04-13 17:09:54	097	train	0.0101	0.9973	|	test	0.1934	0.9512
04-13 17:10:38	098	train	0.0064	0.9985	|	test	0.1943	0.9522
04-13 17:11:23	099	train	0.0053	0.9990	|	test	0.1861	0.9532
04-13 17:12:07	100	train	0.0038	0.9995	|	test	0.1859	0.9525
04-13 17:12:07	end training a model
04-13 17:12:07	elapsed time:1:14:21.938600

