04-13 23:30:07	##### arguments #####
04-13 23:30:07	dataset: cifar10
04-13 23:30:07	model_config: config/model/wrn-16-4.json
04-13 23:30:07	-- num_layer: 16
04-13 23:30:07	-- widening_factor: 4
04-13 23:30:07	run_config: config/run/std_train.json
04-13 23:30:07	-- batch_size_train: 128
04-13 23:30:07	-- batch_size_eval: 256
04-13 23:30:07	-- num_epochs: 100
04-13 23:30:07	-- learning_rate: 0.1
04-13 23:30:07	-- learning_rate_scheduler: cyclicLR
04-13 23:30:07	-- momentum: 0.9
04-13 23:30:07	-- weight_decay: 0.0005
04-13 23:30:07	-- dropout_rate: 0
04-13 23:30:07	device: cuda (1 GPUs)
04-13 23:30:07	output_path: results/cifar10/baselines/standard/wrn-16-4
04-13 23:30:07	log_file: results/cifar10/baselines/standard/wrn-16-4/std_train_wrn_log.txt

04-13 23:30:07	start loading datasets: cifar10
04-13 23:30:08	loaded 50000 dataset_train samples
04-13 23:30:08	loaded 10000 dataset_test samples
04-13 23:30:08	elapsed time: 0:00:01.182473

04-13 23:30:08	start initializing a model
04-13 23:30:08	end initializing a model
04-13 23:30:08	elapsed time:0:00:00.048167

04-13 23:30:08	start setting trainer configurations
04-13 23:30:12	end setting trainer configurations
04-13 23:30:12	elapsed time:0:00:03.764672

04-13 23:30:12	start training a model
04-13 23:30:12	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-13 23:44:42	054	train	0.2071	0.9291	|	test	0.3410	0.8877
04-13 23:44:59	055	train	0.1939	0.9335	|	test	0.4722	0.8548
04-13 23:45:15	056	train	0.1917	0.9343	|	test	0.4472	0.8555
04-13 23:45:31	057	train	0.1961	0.9317	|	test	0.4705	0.8583
04-13 23:45:47	058	train	0.1871	0.9355	|	test	0.3714	0.8870
04-13 23:46:03	059	train	0.1910	0.9342	|	test	0.3839	0.8762
04-13 23:46:19	060	train	0.1869	0.9363	|	test	0.3129	0.8968
04-13 23:46:35	061	train	0.1811	0.9376	|	test	0.3649	0.8866
04-13 23:46:51	062	train	0.1744	0.9406	|	test	0.4054	0.8696
04-13 23:47:07	063	train	0.1712	0.9404	|	test	0.3246	0.8895
04-13 23:47:23	064	train	0.1719	0.9406	|	test	0.3604	0.8872
04-13 23:47:39	065	train	0.1703	0.9405	|	test	0.4235	0.8661
04-13 23:47:55	066	train	0.1672	0.9434	|	test	0.3306	0.8955
04-13 23:48:11	067	train	0.1603	0.9442	|	test	0.3512	0.8883
04-13 23:48:27	068	train	0.1602	0.9447	|	test	0.3048	0.9002
04-13 23:48:43	069	train	0.1539	0.9479	|	test	0.3043	0.9011
04-13 23:48:59	070	train	0.1486	0.9494	|	test	0.3691	0.8793
04-13 23:49:15	071	train	0.1499	0.9492	|	test	0.3297	0.8925
04-13 23:49:31	072	train	0.1410	0.9527	|	test	0.3651	0.8824
04-13 23:49:47	073	train	0.1402	0.9524	|	test	0.3146	0.9012
04-13 23:50:03	074	train	0.1408	0.9521	|	test	0.3295	0.8951
04-13 23:50:19	075	train	0.1362	0.9540	|	test	0.3073	0.9050
04-13 23:50:34	076	train	0.1290	0.9564	|	test	0.3382	0.8942
04-13 23:50:50	077	train	0.1269	0.9562	|	test	0.3029	0.9077
04-13 23:51:06	078	train	0.1181	0.9598	|	test	0.2733	0.9163
04-13 23:51:22	079	train	0.1193	0.9588	|	test	0.3315	0.9023
04-13 23:51:38	080	train	0.1064	0.9637	|	test	0.2817	0.9102
04-13 23:51:55	081	train	0.1115	0.9617	|	test	0.2801	0.9137
04-13 23:52:11	082	train	0.0970	0.9675	|	test	0.3049	0.9103
04-13 23:52:27	083	train	0.0938	0.9684	|	test	0.2781	0.9152
04-13 23:52:43	084	train	0.0919	0.9689	|	test	0.3099	0.9073
04-13 23:52:59	085	train	0.0839	0.9723	|	test	0.2743	0.9165
04-13 23:53:16	086	train	0.0815	0.9727	|	test	0.2439	0.9237
04-13 23:53:32	087	train	0.0723	0.9761	|	test	0.2748	0.9179
04-13 23:53:48	088	train	0.0656	0.9781	|	test	0.2921	0.9123
04-13 23:54:04	089	train	0.0592	0.9802	|	test	0.2865	0.9132
04-13 23:54:20	090	train	0.0494	0.9847	|	test	0.2341	0.9300
04-13 23:54:36	091	train	0.0442	0.9864	|	test	0.2394	0.9283
04-13 23:54:52	092	train	0.0365	0.9893	|	test	0.2546	0.9257
04-13 23:55:08	093	train	0.0296	0.9917	|	test	0.2351	0.9310
04-13 23:55:24	094	train	0.0223	0.9944	|	test	0.2062	0.9377
04-13 23:55:41	095	train	0.0161	0.9964	|	test	0.2053	0.9415
04-13 23:55:57	096	train	0.0131	0.9977	|	test	0.1955	0.9438
04-13 23:56:13	097	train	0.0101	0.9984	|	test	0.1921	0.9443
04-13 23:56:29	098	train	0.0080	0.9990	|	test	0.1847	0.9456
04-13 23:56:45	099	train	0.0073	0.9992	|	test	0.1844	0.9460
04-13 23:57:01	100	train	0.0065	0.9993	|	test	0.1833	0.9463
04-13 23:57:01	end training a model
04-13 23:57:01	elapsed time:0:26:49.311085

