04-14 12:39:16	##### arguments #####
04-14 12:39:16	dataset: cifar100
04-14 12:39:16	model_config: config/model/wrn-16-4.json
04-14 12:39:16	-- num_layer: 16
04-14 12:39:16	-- widening_factor: 4
04-14 12:39:16	run_config: config/run/std_train.json
04-14 12:39:16	-- batch_size_train: 128
04-14 12:39:16	-- batch_size_eval: 256
04-14 12:39:16	-- num_epochs: 100
04-14 12:39:16	-- learning_rate: 0.1
04-14 12:39:16	-- learning_rate_scheduler: cyclicLR
04-14 12:39:16	-- momentum: 0.9
04-14 12:39:16	-- weight_decay: 0.0005
04-14 12:39:16	-- dropout_rate: 0
04-14 12:39:16	device: cuda (1 GPUs)
04-14 12:39:16	output_path: results/cifar100/baselines/standard/wrn-16-4
04-14 12:39:16	log_file: results/cifar100/baselines/standard/wrn-16-4/std_train_wrn_log.txt

04-14 12:39:16	start loading datasets: cifar100
04-14 12:39:17	loaded 50000 dataset_train samples
04-14 12:39:17	loaded 10000 dataset_test samples
04-14 12:39:17	elapsed time: 0:00:01.467209

04-14 12:39:17	start initializing a model
04-14 12:39:17	end initializing a model
04-14 12:39:17	elapsed time:0:00:00.047359

04-14 12:39:17	start setting trainer configurations
04-14 12:39:21	end setting trainer configurations
04-14 12:39:21	elapsed time:0:00:03.854686

04-14 12:39:21	start training a model
04-14 12:39:21	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 12:44:26	019	train	1.1682	0.6626	|	test	1.5162	0.5851
04-14 12:44:42	020	train	1.1197	0.6737	|	test	1.6623	0.5481
04-14 12:44:58	021	train	1.0844	0.6827	|	test	1.6946	0.5503
04-14 12:45:13	022	train	1.0561	0.6923	|	test	1.5182	0.5913
04-14 12:45:29	023	train	1.0204	0.6996	|	test	1.5070	0.5862
04-14 12:45:46	024	train	0.9976	0.7083	|	test	1.4568	0.6068
04-14 12:46:02	025	train	0.9700	0.7133	|	test	1.3633	0.6244
04-14 12:46:18	026	train	0.9547	0.7186	|	test	1.6277	0.5738
04-14 12:46:34	027	train	0.9391	0.7213	|	test	1.4856	0.6048
04-14 12:46:50	028	train	0.9152	0.7264	|	test	1.5830	0.5814
04-14 12:47:06	029	train	0.9003	0.7322	|	test	1.5256	0.5925
04-14 12:47:22	030	train	0.8920	0.7348	|	test	1.4559	0.6106
04-14 12:47:38	031	train	0.8765	0.7394	|	test	1.6086	0.5852
04-14 12:47:54	032	train	0.8631	0.7434	|	test	1.4682	0.6104
04-14 12:48:10	033	train	0.8544	0.7450	|	test	1.5139	0.5940
04-14 12:48:25	034	train	0.8427	0.7482	|	test	1.7233	0.5563
04-14 12:48:41	035	train	0.8445	0.7476	|	test	1.7173	0.5559
04-14 12:48:57	036	train	0.8382	0.7493	|	test	1.7346	0.5597
04-14 12:49:13	037	train	0.8246	0.7533	|	test	1.5180	0.5967
04-14 12:49:29	038	train	0.8190	0.7551	|	test	1.5567	0.5980
04-14 12:49:45	039	train	0.8087	0.7577	|	test	1.6674	0.5691
04-14 12:50:01	040	train	0.8044	0.7594	|	test	1.5059	0.6082
04-14 12:50:17	041	train	0.7996	0.7624	|	test	1.6020	0.6016
04-14 12:50:33	042	train	0.7959	0.7625	|	test	1.8320	0.5580
04-14 12:50:49	043	train	0.7969	0.7602	|	test	1.4982	0.6053
04-14 12:51:05	044	train	0.7897	0.7654	|	test	1.5401	0.6009
04-14 12:51:21	045	train	0.7923	0.7606	|	test	1.6273	0.5856
04-14 12:51:37	046	train	0.7796	0.7661	|	test	1.4868	0.6188
04-14 12:51:53	047	train	0.7702	0.7687	|	test	1.6691	0.5916
04-14 12:52:09	048	train	0.7858	0.7624	|	test	1.4737	0.6133
04-14 12:52:25	049	train	0.7731	0.7674	|	test	1.8870	0.5572
04-14 12:52:41	050	train	0.7729	0.7679	|	test	1.5839	0.5938
04-14 12:52:57	051	train	0.7720	0.7690	|	test	1.5432	0.6048
04-14 12:53:13	052	train	0.7537	0.7745	|	test	1.4958	0.6255
04-14 12:53:29	053	train	0.7366	0.7766	|	test	1.4747	0.6138
04-14 12:53:45	054	train	0.7246	0.7817	|	test	1.5189	0.6127
04-14 12:54:01	055	train	0.7173	0.7856	|	test	1.6328	0.5816
04-14 12:54:17	056	train	0.7035	0.7894	|	test	1.5247	0.6178
04-14 12:54:33	057	train	0.6839	0.7941	|	test	1.5247	0.6175
04-14 12:54:49	058	train	0.6837	0.7944	|	test	1.5493	0.6190
04-14 12:55:05	059	train	0.6688	0.7975	|	test	1.4630	0.6277
04-14 12:55:21	060	train	0.6602	0.7994	|	test	1.4485	0.6224
04-14 12:55:37	061	train	0.6416	0.8071	|	test	1.6137	0.5986
04-14 12:55:54	062	train	0.6420	0.8055	|	test	1.4773	0.6220
04-14 12:56:10	063	train	0.6250	0.8090	|	test	1.3502	0.6478
04-14 12:56:26	064	train	0.6153	0.8145	|	test	1.3860	0.6441
04-14 12:56:42	065	train	0.5979	0.8181	|	test	1.4969	0.6256
04-14 12:56:58	066	train	0.5861	0.8221	|	test	1.3860	0.6495
04-14 12:57:14	067	train	0.5779	0.8254	|	test	1.4797	0.6410
04-14 12:57:30	068	train	0.5675	0.8283	|	test	1.4822	0.6275
04-14 12:57:46	069	train	0.5526	0.8316	|	test	1.4191	0.6430
04-14 12:58:02	070	train	0.5352	0.8383	|	test	1.4294	0.6394
04-14 12:58:18	071	train	0.5246	0.8406	|	test	1.3938	0.6465
04-14 12:58:34	072	train	0.5096	0.8447	|	test	1.4092	0.6344
04-14 12:58:50	073	train	0.5001	0.8476	|	test	1.5536	0.6335
04-14 12:59:06	074	train	0.4879	0.8506	|	test	1.4197	0.6514
04-14 12:59:22	075	train	0.4689	0.8562	|	test	1.3987	0.6505
04-14 12:59:38	076	train	0.4560	0.8607	|	test	1.3498	0.6572
04-14 12:59:54	077	train	0.4417	0.8663	|	test	1.2643	0.6746
04-14 13:00:10	078	train	0.4252	0.8725	|	test	1.2766	0.6760
04-14 13:00:26	079	train	0.4032	0.8796	|	test	1.3390	0.6659
04-14 13:00:42	080	train	0.3937	0.8811	|	test	1.3039	0.6705
04-14 13:00:58	081	train	0.3647	0.8913	|	test	1.3109	0.6742
04-14 13:01:13	082	train	0.3467	0.8963	|	test	1.3064	0.6833
04-14 13:01:29	083	train	0.3337	0.8995	|	test	1.4499	0.6650
04-14 13:01:45	084	train	0.3174	0.9059	|	test	1.2453	0.6841
04-14 13:02:01	085	train	0.2785	0.9185	|	test	1.2274	0.6911
04-14 13:02:17	086	train	0.2637	0.9240	|	test	1.2874	0.6885
04-14 13:02:33	087	train	0.2427	0.9313	|	test	1.1507	0.7108
04-14 13:02:49	088	train	0.2201	0.9385	|	test	1.1824	0.7055
04-14 13:03:05	089	train	0.1978	0.9448	|	test	1.1969	0.7079
04-14 13:03:21	090	train	0.1678	0.9566	|	test	1.1891	0.7113
04-14 13:03:37	091	train	0.1387	0.9663	|	test	1.1465	0.7241
04-14 13:03:53	092	train	0.1151	0.9739	|	test	1.1206	0.7289
04-14 13:04:09	093	train	0.0968	0.9800	|	test	1.1502	0.7267
04-14 13:04:25	094	train	0.0787	0.9861	|	test	1.0407	0.7454
04-14 13:04:41	095	train	0.0616	0.9902	|	test	1.0303	0.7473
04-14 13:04:57	096	train	0.0513	0.9934	|	test	1.0192	0.7456
04-14 13:05:13	097	train	0.0435	0.9953	|	test	1.0120	0.7495
04-14 13:05:29	098	train	0.0361	0.9968	|	test	1.0019	0.7516
04-14 13:05:44	099	train	0.0314	0.9977	|	test	0.9954	0.7554
04-14 13:06:00	100	train	0.0297	0.9981	|	test	0.9931	0.7558
04-14 13:06:00	end training a model
04-14 13:06:00	elapsed time:0:26:39.176625

